quote,author,source
"I just love being able to speak without words.",Mac Miller,https://www.vice.com/en/article/mac-miller-opens-up/
"I used to get upset and write. But now if something bothers me I sit down and play the piano.",Mac Miller,https://www.vice.com/en/article/mac-miller-opens-up/
"I want everything that I say to have a purpose. Everything that I do, I want it to have a purpose.",Mac Miller,https://www.vice.com/en/article/mac-miller-opens-up/
"We've really got to stop being afraid to make mistakes or put out something that people don't like.",Mac Miller,https://www.vice.com/en/article/mac-miller-interview-delusional-thomas/
"Human beings are more complex than just one simple brand.",Mac Miller,https://www.vice.com/en/article/mac-miller-interview-delusional-thomas/
"I'm not trying to plan so much, I'm just trying to let things take shape and let the universe guide me.",Mac Miller,https://www.clashmusic.com/features/bad-endings-good-beginnings-mac-miller-interviewed/
"I don't think there can be a time limit on creativity.",Mac Miller,https://www.clashmusic.com/features/bad-endings-good-beginnings-mac-miller-interviewed/
"There's a lot of beauty in the world, so go hang out and go be a part of the solution rather than the problem.",Mac Miller,https://www.nylon.com/articles/mac-miller-interview
"As I learn more about myself, I think people learn more about me as well.",Mac Miller,https://www.nylon.com/articles/mac-miller-interview
"But you gotta go through the bullshit to know anything.",Mac Miller,https://www.thefader.com/2013/06/05/interview-mac-miller
"This is just heart art. This is art directly from my heart because I know that there are men of the working class and women who love them who share this testimony.",Killer Mike,https://variety.com/2023/music/news/killer-mike-no-id-michael-album-interview-1235758095/
"Don't let the 9-, the 12-, the 15-year-old, you don't let that kid die.",Killer Mike,https://variety.com/2023/music/news/killer-mike-no-id-michael-album-interview-1235758095/
"I just learned how to make an album. That doesn't mean I know how to do everything, but you gotta trust yourself to know when the thing's being done.",Killer Mike,https://variety.com/2023/music/news/killer-mike-no-id-michael-album-interview-1235758095/
"The dark and the light are both me. And I don't have the luxury of acting like they aren't.",Killer Mike,https://www.npr.org/2024/08/07/nx-s1-5061520/killer-mike-interview-songs-for-sinners-saints
"The toughness is needed, but the vulnerability is as needed.",Killer Mike,https://www.npr.org/2024/08/07/nx-s1-5061520/killer-mike-interview-songs-for-sinners-saints
"As a human being, I'm capable of the worst. And that's what drives me to be my best.",Killer Mike,https://www.npr.org/2024/08/07/nx-s1-5061520/killer-mike-interview-songs-for-sinners-saints
"It is time to plot, plan, strategize, organize, and mobilize.",Killer Mike,https://www.rev.com/transcripts/rapper-killer-mike-speech-transcript-during-atlanta-protests
"It is your duty not to burn your own house down for anger with an enemy.",Killer Mike,https://speakola.com/ideas/killer-mike-atlanta-protests-mayor-2020
"I pray at an altar within my home; give gratitude to my ancestors, they're the ones that got me here.",Killer Mike,https://www.vice.com/en/article/killer-mike-religion-interview-bet-trigger-warning-church-of-sleep/
"Confusion is a gift from God. Those times when you feel most desperate for a solution, sit. Wait. The information will become clear.",RZA,https://www.goodreads.com/work/quotes/6879842-the-tao-of-wu
"It's harder to make the glass than break the glass.",RZA,https://archive.org/stream/TheTaoOfWuByRZAAndChrisNorris/The+Tao+Of+Wu+by+RZA+and+Chris+Norris_djvu.txt
"So love, like wisdom, dissolves you and then resolves you. It breaks down your ego and puts you back together again properly.",RZA,https://www.goodreads.com/work/quotes/6879842-the-tao-of-wu
"Truth out of season bears no fruit.",RZA,https://www.goodreads.com/work/quotes/6879842-the-tao-of-wu
"Decay is inevitable, but death is not.",RZA,https://www.goodreads.com/quotes/892743-decay-is-inevitable-but-death-is-not
"The first person you have to resurrect is yourself.",RZA,https://www.goodreads.com/work/quotes/6879842-the-tao-of-wu
"From desperation I discovered determination, and dedication to my craft of art and making music and anything that was an artistic expression.",RZA,https://the-talks.com/interview/rza/
"I try to use the concept of Noah. Sometimes you've got to go into your ark and sit still and let the storm pass.",RZA,https://the-talks.com/interview/rza/
"You can break Ch'an Buddhism down to three basic ideas. One is that every person has an inherent Buddha nature inside — anyone can become enlightened. Two, there's no one single path to enlightenment, everybody has to find his own way. Three, it's almost impossible to reach enlightenment solely through the exchange of words.",RZA,https://www.goodreads.com/work/quotes/75903959-the-wu-tang-manual
"I worked to heal generational trauma and turned my broken heart into art that would help move culture forward and hopefully live far beyond me.",Beyoncé,https://thegrio.com/2021/08/10/beyonce-harpers-bazaar-interview/
