watershed_group_code,blue_line_key,downstream_route_measure,wscode_ltree,localcode_ltree
ADMS,356362743,750.608,100.190442.999098.995997.058910,100.190442.999098.995997.058910
ALBN,354153558,0,930.077174,930.077174
ATLL,360219387,0,800.936764.858242,800.936764.858242.219234
ATNA,360879335,49.425,910.275583.999439,910.275583.999439
BABL,360221578,0,400.536025,400.536025.653058
BABR,360886970,62,400.536025,400.536025
BARR,360879992,268.931,600.273049,600.273049
BBAR,356364114,337891.728,100,100.239855
BEAV,359573055,456848.748,200.692231,200.692231.370570
BELA,360885253,0,910.275583,910.275583
BIGC,356360939,11.868,100.342455.095384,100.342455.095384
BLAR,356364550,221.297,100.500560,100.500560
BLUR,359568985,54.331,200.692231.708347.173706,200.692231.708347.173706
BONP,356363594,67.568,100.190442.506118,100.190442.506118
BOWR,356362298,83.088,100.654493,100.654493
BRID,356361637,689.945,100.190442.998192.349877.237590.984912.950504,100.190442.998192.349877.237590.984912.950504
BRKS,354155031,0,930.862497,930.862497
BULK,360873822,78.563,400.431358,400.431358
BULL,356570348,431808.17,300.625474,300.625474.554084
CAMB,354154635,0,920.627155,920.627155
CANO,356365054,13621.684,300,300.824289
CARP,359571482,810.716,200.948755.936906,200.948755.936906
CARR,356363010,34.915,100.458399.466616,100.458399.466616
CHES,356362759,258093.105,100.567134,100.567134.503707
CHIL,356363121,136892.941,100.567134.069486,100.567134.069486.571084
CHIR,356364103,240.842,100.342455.328500,100.342455.328500.001118
CHUK,360886710,496.322,600.823383,600.823383.007819
CHWK,356352298,410.986,100.064535,100.064535
CLAY,354155253,0,930.504218,930.504218
CLRH,356365054,0,300,300.824034
CLWR,356364464,65.126,100.190442.998192.349877,100.190442.998192.349877
COAL,359573055,683093.586,200.692231,200.692231.556630
COLR,356570372,1842412.184,300,300.943238
COMX,354151420,0,920.559826,920.559826
COTR,356364114,646742.687,100,100.458476
COWN,354154938,0,920.388982,920.388982
CRKD,359571965,347.696,200.948755.936906.932956,200.948755.936906.932956
CRYL,359571117,63.648,200.692231.708347.415013,200.692231.708347.415013
DEAD,356361749,59.232,100.190442.712025,100.190442.712025
DEAL,359571877,198393.639,200.692231.708347,200.692231.708347.656101
DEAR,359571877,43.368,200.692231.708347,200.692231.708347
DOGC,356364114,452802.207,100,100.321761
DRIR,356353731,1676.285,100.567134.179319.815989.532920.992397,100.567134.179319.815989.532920.992397
DUNC,356570552,438.563,300.625474.096683,300.625474.096683
DUNE,359573055,372766.072,200.692231,200.692231.304506
ELKR,356570562,5665.051,300.625474.584724,300.625474.584724
EUCH,356363761,49.223,100.500560.248839,100.500560.248839
EUCL,356364550,151240.929,100.500560,100.500560.544196
FINA,359007254,0,200.948755,200.948755.937566
FINL,359569942,1721.044,200.948755.999851,200.948755.999851
FIRE,359569942,200033.694,200.948755.999851,200.948755.999851.662349
FONT,359572629,65.906,200.692231.350733.999823,200.692231.350733.999823
FOXR,359567848,62.829,200.948755.999851.345456,200.948755.999851.345456
FRAN,356338340,56.048,100.567134.374775,100.567134.374775
FRCN,356364114,145320.299,100,100.102516
FROG,359572903,216729.607,200.692231.587311,200.692231.587311.619113
GATA,359570293,378.386,200.692231.587311.633085,200.692231.587311.633085
GLAR,360213483,0,800.901317.610987,800.901317.610987.421313
GOLD,354154308,0,930.508366,930.508366
GRAI,360837705,0,940.349858,940.349858
GRNL,356362136,0,100.190442.506118.553154,100.190442.506118.553154
GUIC,356364119,14.406,100.190442.244975.296261,100.190442.244975.296261
HARR,356364114,84053.569,100,100.057528
HAYR,359571420,581689.577,200.893458,200.893458.604929
HERR,356364051,52.556,100.639480.270767,100.639480.270767
HOLB,354150316,0,930.968384,930.968384
HOMA,360883723,0,900.407906,900.407906
HORS,356357296,3102.363,100.458399.638146,100.458399.638146
INGR,359571145,1029.839,200.948755.992594,200.948755.992594
INKR,360886555,30843.35,700,700.343115
ISKR,360884856,78092.392,600.059339,600.059339.310438
JENR,360886708,1386.76,800.901317.645839,800.901317.645839
JERV,360877786,0,900.236275,900.236275
KAHN,359571858,34.871,200.692231.350733.999823.217968,200.692231.350733.999823.217968
KAKC,360886567,37.344,600.399105,600.399105
KCHL,359570296,18.808,200.893458.633613,200.893458.633613
KEEC,360842839,0,915.669295.153885,915.669295.153885
KETL,356570045,53500.248,300.571168,300.571168.157542
KHOR,356570372,1734740.085,300,300.888248
KHTZ,360872198,0,910.524956,910.524956
KINR,360883731,40.456,500.441851,500.441851
KISK,359571971,123.177,200.948755.789717,200.948755.789717
KISP,360887278,220358.819,400,400.351959
KITL,360885951,4420.497,910.609623.008239,910.609623.008239.036778
KITR,360885824,0,910.665062,910.665062
KLAR,360884719,76.443,600.544210,600.544210
KLIN,360886896,0,900.595322,900.595322
KLUM,360887278,115436.636,400,400.183628
KNIG,360885346,0,900.598651,900.598651
KOTL,356365278,0,300.625474,300.625474.095229
KOTR,356570348,608734.793,300.625474,300.625474.782719
KSHR,360868849,0,910.998407,910.998407
KTSU,360874324,0,915.606604.524213,915.606604.524213
KUMR,360875133,0,910.733753,910.733753
KUSR,360214815,47401.144,800.936764,800.936764.523931
LARL,356570372,1175639.253,300,300.600588
LBIR,360882877,65.927,500.530253,500.530253
LBTN,359572281,273.64,200.948755.796981,200.948755.796981
LCHL,356362759,243.949,100.567134,100.567134
LCHR,356363411,137.175,100.342455,100.342455
LDEN,360883982,0,910.302877,910.302877
LEUT,355991561,3113.755,100.567134,100.567134.641422
LFRA,356364114,0,100,100
LFRT,359567604,93.189,200.692231.350733,200.692231.350733
LHAF,359570578,217.886,200.948755.837217,200.948755.837217
LIAR,359573055,555519.537,200.692231,200.692231.453216
